id,day,countryname,deaths,cumulativedeaths,confirmed,cumulativeconfirmed,forecastid,Day_num,Day2,Month,Year
1.0,2020-02-25,0,0.0,0.0,1.0,1.0,-1.0,47,25,2,2020
2.0,2020-02-26,0,0.0,0.0,0.0,1.0,-1.0,48,26,2,2020
3.0,2020-02-27,0,0.0,0.0,0.0,1.0,-1.0,49,27,2,2020
4.0,2020-02-28,0,0.0,0.0,0.0,1.0,-1.0,50,28,2,2020
5.0,2020-02-29,0,0.0,0.0,0.0,1.0,-1.0,51,29,2,2020
6.0,2020-03-01,0,0.0,0.0,0.0,1.0,-1.0,52,1,3,2020
7.0,2020-03-02,0,0.0,0.0,0.0,1.0,-1.0,53,2,3,2020
8.0,2020-03-03,0,0.0,0.0,0.0,1.0,-1.0,54,3,3,2020
9.0,2020-03-04,0,0.0,0.0,0.0,1.0,-1.0,55,4,3,2020
10.0,2020-03-05,0,0.0,0.0,0.0,1.0,-1.0,56,5,3,2020
11.0,2020-03-06,0,0.0,0.0,0.0,1.0,-1.0,57,6,3,2020
12.0,2020-03-07,0,0.0,0.0,0.0,1.0,-1.0,58,7,3,2020
13.0,2020-03-08,0,0.0,0.0,3.0,4.0,-1.0,59,8,3,2020
14.0,2020-03-09,0,0.0,0.0,0.0,4.0,-1.0,60,9,3,2020
15.0,2020-03-10,0,0.0,0.0,0.0,4.0,-1.0,61,10,3,2020
16.0,2020-03-11,0,0.0,0.0,0.0,4.0,-1.0,62,11,3,2020
17.0,2020-03-12,0,0.0,0.0,3.0,7.0,-1.0,63,12,3,2020
18.0,2020-03-13,0,0.0,0.0,0.0,7.0,-1.0,64,13,3,2020
19.0,2020-03-14,0,0.0,0.0,0.0,7.0,-1.0,65,14,3,2020
20.0,2020-03-15,0,0.0,0.0,3.0,10.0,-1.0,66,15,3,2020
21.0,2020-03-16,0,0.0,0.0,6.0,16.0,-1.0,67,16,3,2020
22.0,2020-03-17,0,0.0,0.0,5.0,21.0,-1.0,68,17,3,2020
23.0,2020-03-18,0,0.0,0.0,1.0,22.0,-1.0,69,18,3,2020
24.0,2020-03-19,0,0.0,0.0,0.0,22.0,-1.0,70,19,3,2020
25.0,2020-03-20,0,0.0,0.0,0.0,22.0,-1.0,71,20,3,2020
